1,1,2,2
0,0,8,8
23,23,3,3
6,6,4,4
15,15,2,2
12,12,4,4
0,0,2,3
20,20,4,4
22,22,3,3
10,10,7,7
9,9,5,5
12,12,7,7
2,2,0,0
2,2,4,4
7,7,4,4
0,0,0,0
17,17,2,2
17,17,7,7
5,5,4,4
13,13,4,4
23,23,5,5
8,8,4,4
19,19,5,5
9,9,6,6
10,10,0,0
17,17,6,6
1,1,6,6
3,3,4,4
2,2,6,6
22,22,2,2
24,24,3,3
10,10,6,6
19,19,0,0
20,20,5,5
1,1,1,1
13,13,0,0
1,1,7,7
15,15,0,0
19,19,3,3
14,14,4,4
4,4,4,4
10,10,5,5
19,19,4,4
2,2,6,6
18,18,7,7
14,14,5,5
10,10,4,4
7,8,1,1
4,4,5,5
15,15,4,4
5,5,0,0
0,0,1,1
16,16,4,4
13,13,6,6
3,3,5,5
5,5,1,1
11,11,4,4
12,12,6,6
8,9,0,0
17,17,5,5
5,5,3,3
17,17,3,3
24,24,5,5
1,1,8,8
26,26,0,0
12,12,0,0
1,1,0,0
16,16,5,5
17,17,5,5
2,2,5,5
2,2,4,4
18,18,0,0
24,24,5,5
22,22,5,5
5,5,5,5
13,13,1,1
13,13,5,5
21,21,0,0
11,11,5,5
1,1,3,6
12,12,7,7
11,11,9,9
0,0,6,7
9,9,4,4
13,13,9,9
10,10,6,6
0,0,6,6
19,19,7,7
9,9,0,0
1,1,1,1
8,8,5,5
13,13,2,2
18,18,5,5
10,10,8,8
10,10,7,7
